flight_id,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Price Category Code,Terminal,Boarding Area
5080,Mesaba Airlines,XJ,Delta Air Lines,DL,Domestic,US,Other,Terminal 1,C
5610,Aeromexico,AM,Aeromexico,AM,International,Mexico,Other,International,G
5726,World Airways,WO,World Airways,WO,International,Europe,Other,International,A
6132,Midwest Airlines,YX,Midwest Airlines,YX,Domestic,US,Other,Terminal 1,C
6449,Delta Air Lines,DL,Delta Air Lines,DL,International,Asia,Other,International,A
6750,Air Berlin,AB,Air Berlin,AB,International,Europe,Other,International,G
6812,Republic Airlines,RW,Republic Airlines,RW,Domestic,US,Other,Terminal 1,C
6814,Servisair,,Servisair,,Domestic,US,Low Fare,International,G
6828,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Low Fare,International,G
6925,Pacific Aviation,,Pacific Aviation,,International,Europe,Other,International,A
6947,Swiss International,LX,Swiss International,LX,International,Europe,Other,International,G
6980,Virgin America,VX,Virgin America,VX,International,Canada,Low Fare,International,A
7038,LAN Peru,LP,LAN Peru,LP,International,South America,Other,International,A
7683,Virgin America,VX,Virgin America,VX,International,Mexico,Other,International,A
7684,Virgin America,VX,Virgin America,VX,International,Mexico,Low Fare,International,A
7747,Servisair,,Servisair,,Domestic,US,Low Fare,International,A
8041,American Airlines,AA,American Airlines,AA,Domestic,US,Other,Terminal 2,D
8116,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Asia,Low Fare,International,G
8133,Virgin America,VX,Virgin America,VX,Domestic,US,Low Fare,Terminal 2,D
8139,Virgin America,VX,Virgin America,VX,International,Mexico,Low Fare,Terminal 2,D
8144,Air Berlin,AB,Air Berlin,AB,International,Europe,Other,International,A
8146,Air Canada ,AC,Air Canada ,AC,International,Canada,Other,International,A
8148,Air Canada ,AC,Air Canada ,AC,International,Canada,Other,International,G
8221,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Low Fare,International,A
8231,United Airlines,UA,United Airlines,UA,Domestic,US,Other,Terminal 3,F
8305,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Other,International,A
8795,Servisair,,Servisair,,International,Europe,Low Fare,International,A
8952,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Other,Terminal 3,F
8995,Emirates ,EK,Emirates ,EK,International,Middle East,Other,International,A
